"Time","Username","Entry"
2021-05-26 10:51:31,"npcc","Logged In"
2021-05-26 10:25:06,"npcc","Downloaded DISCOs Forecast"
2021-05-26 10:24:21,"npcc","Downloaded DISCOs Forecast"
2021-05-26 10:23:53,"npcc","Downloaded Forecast"
2021-05-26 10:23:17,"npcc","Downloaded Forecast"
2021-05-26 10:22:22,"npcc","Uploaded New Data"
2021-05-26 10:20:12,"admin","Logged In"
2021-05-26 10:18:28,"npcc","Logged In"
2021-05-25 21:08:53,"admin","Logged In"
2021-05-25 10:07:37,"npcc","Downloaded DISCOs Forecast"
2021-05-25 10:07:17,"npcc","Downloaded DISCOs Forecast"
2021-05-25 10:06:53,"npcc","Downloaded Forecast"
2021-05-25 10:06:13,"npcc","Downloaded Forecast"
2021-05-25 10:05:36,"npcc","Logged In"
2021-05-25 09:41:49,"npcc","Logged In"
2021-05-25 09:29:33,"npcc","Uploaded New Data"
2021-05-25 09:29:17,"npcc","Uploaded New Data"
2021-05-25 09:25:39,"npcc","Logged In"
2021-05-25 09:24:37,"npcc","Uploaded New Data"
2021-05-25 09:20:59,"npcc","Logged In"
2021-05-24 11:12:54,"npcc","Downloaded DISCOs Forecast"
2021-05-24 11:12:37,"npcc","Downloaded DISCOs Forecast"
2021-05-24 11:11:57,"npcc","Downloaded Forecast"
2021-05-24 11:11:12,"npcc","Downloaded Forecast"
2021-05-24 11:09:35,"npcc","Logged In"
2021-05-24 09:22:47,"npcc","Uploaded New Data"
2021-05-24 09:22:26,"npcc","Uploaded New Data"
2021-05-24 09:20:24,"npcc","Logged In"
2021-05-23 18:26:06,"admin","Logged In"
2021-05-23 10:25:46,"admin","Logged In"
2021-05-23 09:34:20,"admin","Logged In"
2021-05-23 09:17:50,"admin","Logged In"
2021-05-22 16:19:10,"npcc","Downloaded DISCOs Forecast"
2021-05-22 16:18:59,"npcc","Downloaded DISCOs Forecast"
2021-05-22 16:18:46,"npcc","Downloaded Forecast"
2021-05-22 16:18:23,"npcc","Downloaded Forecast"
2021-05-22 16:17:34,"npcc","Uploaded New Data"
2021-05-22 16:16:23,"pitc","Downloaded Historic Data"
2021-05-22 16:11:30,"pitc","Downloaded DISCO Historic Data"
2021-05-22 16:10:12,"pitc","Downloaded DISCO Historic Data"
2021-05-22 16:09:16,"npcc","Logged In"
2021-05-22 16:08:59,"pitc","Downloaded DISCO Historic Data"
2021-05-22 16:06:51,"pitc","Downloaded DISCO Historic Data"
2021-05-22 16:05:57,"pitc","Downloaded Historic Data"
2021-05-22 16:03:46,"pitc","Downloaded Historic Data"
2021-05-22 16:01:54,"pitc","Logged In"
2021-05-22 12:48:33,"admin","Logged In"
2021-05-21 18:20:55,"admin","Logged In"
2021-05-21 14:56:02,"npcc","Logged In"
2021-05-21 10:48:14,"npcc","Downloaded DISCOs Forecast"
2021-05-21 10:47:46,"npcc","Downloaded DISCOs Forecast"
2021-05-21 10:46:28,"npcc","Downloaded Forecast"
2021-05-21 10:46:05,"npcc","Downloaded Forecast"
2021-05-21 10:45:30,"npcc","Logged In"
2021-05-21 09:39:09,"npcc","Uploaded New Data"
2021-05-21 09:36:09,"npcc","Logged In"
2021-05-21 00:23:01,"admin","Logged In"
2021-05-20 16:55:24,"admin","Downloaded Historic Data"
2021-05-20 16:44:28,"admin","Logged In"
2021-05-20 14:16:12,"npcc","Downloaded DISCOs Forecast"
2021-05-20 14:16:02,"npcc","Downloaded DISCOs Forecast"
2021-05-20 14:15:46,"npcc","Downloaded DISCOs Forecast"
2021-05-20 14:14:43,"npcc","Downloaded Forecast"
2021-05-20 14:14:07,"npcc","Downloaded Forecast"
2021-05-20 14:12:45,"npcc","Logged In"
2021-05-20 09:45:26,"npcc","Downloaded Performance Data"
2021-05-20 09:31:43,"npcc","Logged In"
2021-05-20 09:26:48,"admin","Logged In"
2021-05-20 09:15:53,"npcc","Uploaded New Data"
2021-05-20 09:13:02,"npcc","Logged In"
2021-05-19 17:13:24,"admin","Downloaded Performance Data"
2021-05-19 17:12:58,"admin","Logged In"
2021-05-19 16:54:58,"npcc","Downloaded Performance Data"
2021-05-19 16:45:26,"npcc","Downloaded Performance Data"
2021-05-19 16:43:08,"npcc","Downloaded Performance Data"
2021-05-19 16:42:41,"npcc","Logged In"
2021-05-19 16:35:57,"LESCO","Logged In"
2021-05-19 16:24:34,"admin","Logged In"
2021-05-19 16:23:42,"npcc","Logged In"
2021-05-19 15:53:19,"npcc","Logged In"
2021-05-19 10:41:45,"admin","Logged In"
2021-05-19 10:35:10,"npcc","Downloaded DISCOs Forecast"
2021-05-19 10:34:54,"npcc","Downloaded DISCOs Forecast"
2021-05-19 10:34:23,"npcc","Downloaded Forecast"
2021-05-19 10:33:46,"npcc","Downloaded Forecast"
2021-05-19 10:33:29,"npcc","Logged In"
2021-05-19 10:26:01,"npcc","Logged In"
2021-05-19 09:27:25,"npcc","Downloaded Performance Data"
2021-05-19 09:26:40,"npcc","Uploaded New Data"
2021-05-19 09:15:48,"npcc","Logged In"
2021-05-19 00:28:51,"admin","Logged In"
2021-05-18 15:55:27,"npcc","Downloaded Performance Data"
2021-05-18 15:54:57,"npcc","Downloaded Performance Data"
2021-05-18 15:54:40,"npcc","Downloaded Performance Data"
2021-05-18 15:49:07,"npcc","Downloaded Performance Data"
2021-05-18 15:42:12,"npcc","Logged In"
