"Time","LESCO","MEPCO","FESCO","QESCO","PESCO","GEPCO","HESCO","SEPCO","IESCO","TESCO"
"2021-03-16 07:00:00",2124.51640583401,1914.69187762321,1392.72420672253,418.476103114174,1099.2530873018,1008.12682500751,399.184964719886,214.324791565498,947.655478188011,99.8983153950389
"2021-03-16 08:00:00",2265.98696112194,1976.50449027027,1476.30021870711,443.577879181863,1226.5728862408,1099.09363405587,457.729563781203,246.591755272501,1042.66924723757,108.033583131597
"2021-03-16 09:00:00",2380.0588932097,2117.99087164701,1551.17129284466,480.412989003851,1113.80598994921,1179.0044495514,544.9462609797,292.440678685546,1068.62233990062,115.430792116246
"2021-03-16 10:00:00",2367.91219039431,2156.92177237756,1555.84344275522,585.520632005598,1001.95033918255,1162.31549784414,550.147264311446,281.243136037992,1052.15931850989,111.403840778348
"2021-03-16 11:00:00",2414.00152104321,2153.44106183356,1595.63109883383,613.862323970394,1084.74589559907,1231.16782874275,539.760498922457,283.620780367621,1058.45255604633,112.249383943943
"2021-03-16 12:00:00",2467.19644144696,2131.08908859658,1571.41079042906,564.028980482385,981.423898920062,1233.24977027379,493.815674358096,272.130567687462,1010.87015746281,109.927007972164
"2021-03-16 13:00:00",2421.48326313314,2094.72962018758,1544.49525486058,544.081060468709,978.036675423515,1199.7766112457,446.896161442619,283.88391948376,959.075543511711,111.615114816746
"2021-03-16 14:00:00",2439.44463650866,2118.45941294352,1586.52364535124,505.460852928025,974.846497439474,1221.64126204578,506.537971145617,311.227190405522,972.368508820586,103.013898275081
"2021-03-16 15:00:00",2421.26426933433,2127.35118456269,1591.63314481052,474.892393715321,1039.23852317482,1216.50096356572,550.38400835382,297.752589443765,985.570826007583,99.0703112066592
"2021-03-16 16:00:00",2405.10243930794,2120.09887271754,1582.07969343944,415.2418564979,999.754026243511,1193.60082368813,504.937686492841,263.442624142764,991.86289033383,97.4178590802528
"2021-03-16 17:00:00",2412.67342838299,2080.33092231311,1565.62980529849,415.427702897735,1131.43193326427,1164.9885667018,506.766807249333,242.505057914646,991.589793722452,101.973515908082
"2021-03-16 18:00:00",2461.38763147657,2033.97413670979,1588.07882909001,442.299104292768,1160.58162031146,1177.56069674998,524.544063298511,306.633308571417,1078.72263979733,112.460956009294
"2021-03-16 19:00:00",2399.03442541437,2006.64895505114,1553.84120184693,558.776980224524,1158.68424988126,1123.66467344824,534.591656069163,349.887169347451,1103.04261332012,105.518389773462
"2021-03-16 20:00:00",2290.4354046034,1908.81431138273,1496.82183046781,559.253531769522,1158.14361436987,1048.82048666329,532.716596619208,373.965438748288,1049.79245918488,105.936845173005
"2021-03-16 21:00:00",2179.98565339652,1841.29004750773,1453.7535675264,553.78339955457,1086.56054280813,992.226238809344,566.77787230266,375.826370413479,966.563551977107,103.639018483512
"2021-03-16 22:00:00",2029.67442721284,1755.5157649999,1380.19063614169,585.764436089968,917.59851806706,943.695700227377,587.078247190994,330.829016824724,868.414724447525,112.249383943943
"2021-03-16 23:00:00",1939.99427237561,1675.1349228087,1323.50830246905,530.191598398651,991.978851692209,868.723121212064,561.063890208562,315.061830716825,797.096926547123,110.770465594676
